Language;Italki;Preply;Verbling;Average
English;4399;11693;729;5607,00
Spanish;1841;4650;554;2348,33
French;823;1506;168;832,33
Chinese;967;1208;135;770,00
Italian;517;1073;147;579,00
Russian;617;966;98;560,33
Portuguese;360;939;89;462,67
Arabic;506;647;103;418,67
Japanese;593;580;58;410,33
German;498;593;75;388,67
Korean;239;240;46;175,00
Turkish;163;253;38;151,33
Polish;132;118;11;87,00
Hindi;96;124;14;78,00
Dutch;83;119;19;73,67
Ukrainian;121;91;2;71,33
Greek;83;95;24;67,33
Serbian;106;77;6;63,00
Tagalog;80;97;2;59,67
Indonesian;65;93;18;58,67
Persian;117;23;23;54,33
Thai;79;57;19;51,67
Vietnamese;95;35;19;49,67
Hebrew;65;65;10;46,67
Urdu;37;76;6;39,67
Hungarian;57;36;7;33,33
Swedish;34;52;6;30,67
Czech;52;21;2;25,00
Romanian;42;16;13;23,67
Catalan;65;2;3;23,33
Croatian;48;14;5;22,33
Punjabi;24;26;4;18,00
Tamil;17;24;3;14,67
Bengali;18;17;3;12,67
Latin;15;22;0;12,33
Danish;20;12;4;12,00
Bulgarian;19;12;4;11,67
Slovak;26;5;2;11,00
Norwegian;14;13;4;10,33
Finnish;11;7;1;6,33
Gaelic;8;0;0;2,67
Icelandic;5;1;1;2,33